District,Temperature,Humidity,Pressure,WindSpeed,Precipitation,CloudCover,DayOfYear,MonsoonPhase,Weather
Pathanamthitta,29.88,81.41,1005.33,10.07,4.12,33.88,131,Pre-Monsoon,Cloudy
Thrissur,30.72,70.65,1004.65,11.86,5.39,69.9,221,SouthWest Monsoon,Cloudy
Kottayam,30.88,75.44,1005.05,5.18,1.27,42.66,148,Pre-Monsoon,Cloudy
Alappuzha,32.08,83.91,1005.17,11.54,0.1,78.88,346,Post-Monsoon,Cloudy
Thrissur,28.24,91.62,1005.42,11.11,17.39,55.51,155,SouthWest Monsoon,Rainy
Idukki,28.43,83.61,1003.35,10.91,2.28,32.27,361,Post-Monsoon,Cloudy
Kollam,30.58,80.95,1014.4,1.97,6.34,62.3,16,Post-Monsoon,Cloudy
Alappuzha,31.66,84.07,1010.87,10.41,3.19,93.51,330,NorthEast Monsoon,Cloudy
Wayanad,25.1,73.91,1009.75,8.53,1.48,88.83,288,NorthEast Monsoon,Cloudy
Kozhikode,29.94,74.55,1022.0,9.13,15.34,16.04,330,NorthEast Monsoon,Rainy
Alappuzha,27.81,80.15,1012.96,17.0,4.0,63.96,357,Post-Monsoon,Cloudy
Idukki,29.26,72.76,1025.0,3.33,2.08,66.56,245,SouthWest Monsoon,Cloudy
Idukki,27.93,87.6,1016.47,17.9,6.67,90.42,341,Post-Monsoon,Rainy
Thiruvananthapuram,26.83,89.51,1003.93,0.0,4.85,100.0,180,SouthWest Monsoon,Rainy
Kasaragod,25.94,79.82,1003.33,8.73,6.08,67.6,274,NorthEast Monsoon,Cloudy
Thrissur,28.55,88.05,1007.42,12.15,8.87,61.65,145,Pre-Monsoon,Cloudy
Idukki,30.08,93.9,1008.23,5.5,0.89,83.39,51,Post-Monsoon,Rainy
Pathanamthitta,27.19,85.22,1016.39,11.1,0.32,67.19,28,Post-Monsoon,Rainy
Kasaragod,32.57,89.18,1007.94,7.01,3.11,75.28,114,Pre-Monsoon,Rainy
Palakkad,36.38,81.39,1009.45,10.94,0.11,59.03,48,Post-Monsoon,Cloudy
Kollam,30.24,89.2,1004.16,9.34,1.18,42.47,349,Post-Monsoon,Cloudy
Kozhikode,28.88,81.0,1013.31,9.31,0.91,100.0,259,SouthWest Monsoon,Cloudy
Thrissur,26.26,76.42,1015.49,15.95,7.25,58.98,270,SouthWest Monsoon,Cloudy
Malappuram,30.11,87.55,1013.87,14.04,7.65,44.52,223,SouthWest Monsoon,Cloudy
Pathanamthitta,33.43,83.76,1010.65,7.59,0.72,54.76,362,Post-Monsoon,Cloudy
Kannur,34.85,88.24,1015.13,12.56,1.87,50.21,96,Pre-Monsoon,Cloudy
Wayanad,33.19,76.07,1012.67,10.66,6.19,100.0,83,Post-Monsoon,Cloudy
Kottayam,31.53,84.54,1013.95,6.7,1.13,40.05,16,Post-Monsoon,Cloudy
Idukki,30.23,89.54,1006.09,8.57,2.14,45.86,134,Pre-Monsoon,Cloudy
Malappuram,25.85,78.43,1008.54,13.55,2.29,64.92,158,SouthWest Monsoon,Cloudy
Idukki,28.7,88.41,1013.1,6.3,0.37,50.53,244,SouthWest Monsoon,Cloudy
Alappuzha,28.35,94.58,1007.68,8.47,1.11,78.3,111,Pre-Monsoon,Rainy
Pathanamthitta,28.72,77.29,1020.19,13.53,1.22,96.69,52,Post-Monsoon,Cloudy
Alappuzha,26.84,84.13,1012.12,13.93,6.55,71.56,63,Post-Monsoon,Cloudy
Thiruvananthapuram,31.27,96.04,1012.88,10.65,1.7,56.85,131,Pre-Monsoon,Cloudy
Alappuzha,28.18,70.52,1015.27,7.06,6.78,57.12,109,Pre-Monsoon,Cloudy
Thiruvananthapuram,27.93,85.24,1011.35,12.0,3.63,19.89,166,SouthWest Monsoon,Cloudy
Wayanad,26.85,87.54,1012.36,3.08,0.42,59.51,223,SouthWest Monsoon,Cloudy
Thiruvananthapuram,29.7,82.16,1007.12,5.65,1.23,34.64,35,Post-Monsoon,Cloudy
Malappuram,33.49,99.9,1008.31,15.33,0.23,58.28,122,Pre-Monsoon,Cloudy
Kasaragod,28.97,85.93,1009.98,15.03,16.85,14.02,316,NorthEast Monsoon,Rainy
Idukki,29.85,92.76,1004.52,6.94,8.74,26.43,352,Post-Monsoon,Cloudy
Kottayam,34.81,88.67,1018.06,4.66,1.56,48.36,226,SouthWest Monsoon,Cloudy
Kasaragod,32.61,93.96,1004.3,4.79,2.17,58.4,224,SouthWest Monsoon,Cloudy
Kozhikode,30.76,83.41,1004.63,7.26,6.18,43.16,317,NorthEast Monsoon,Cloudy
Alappuzha,30.64,71.56,1010.05,10.65,3.05,77.9,118,Pre-Monsoon,Cloudy
Kannur,27.19,86.37,1012.26,6.55,4.58,34.29,90,Pre-Monsoon,Cloudy
Kozhikode,26.9,68.51,1006.36,8.52,0.13,87.17,9,Post-Monsoon,Cloudy
Pathanamthitta,29.42,79.33,1007.43,8.61,12.93,71.66,198,SouthWest Monsoon,Rainy
Thiruvananthapuram,29.5,78.27,1008.64,13.11,1.5,67.65,130,Pre-Monsoon,Cloudy
Idukki,26.45,78.9,1010.16,6.54,5.34,47.23,64,Post-Monsoon,Cloudy
Kollam,31.11,92.11,1013.21,9.73,14.98,59.27,223,SouthWest Monsoon,Rainy
Thrissur,28.17,81.8,1006.25,18.58,5.4,46.17,39,Post-Monsoon,Cloudy
Malappuram,32.38,98.45,1007.89,9.71,7.01,94.38,183,SouthWest Monsoon,Rainy
Kottayam,28.83,81.48,1011.91,9.52,16.92,65.25,158,SouthWest Monsoon,Rainy
Ernakulam,28.57,64.9,1015.9,8.7,5.61,52.32,142,Pre-Monsoon,Cloudy
Malappuram,26.19,77.26,1014.57,10.24,3.53,35.27,203,SouthWest Monsoon,Cloudy
Wayanad,26.52,88.8,1011.91,10.03,3.79,79.08,224,SouthWest Monsoon,Rainy
Kollam,32.95,71.22,999.71,11.51,0.21,63.87,70,Post-Monsoon,Cloudy
Kannur,29.81,79.15,1005.63,16.01,0.43,57.39,319,NorthEast Monsoon,Cloudy
Thrissur,30.17,88.53,1006.08,8.17,4.11,63.65,93,Pre-Monsoon,Cloudy
Kollam,33.8,79.48,1015.07,8.42,3.85,37.42,322,NorthEast Monsoon,Cloudy
Alappuzha,25.05,77.56,1004.69,16.34,3.54,41.54,293,NorthEast Monsoon,Cloudy
Thiruvananthapuram,31.01,92.03,1002.32,8.04,0.75,41.4,101,Pre-Monsoon,Cloudy
Kottayam,24.24,80.18,1011.94,9.01,13.21,56.48,286,NorthEast Monsoon,Rainy
Palakkad,27.69,73.66,1012.48,10.26,11.92,56.03,89,Post-Monsoon,Rainy
Thiruvananthapuram,25.56,88.67,1006.23,7.95,1.77,40.95,174,SouthWest Monsoon,Cloudy
Palakkad,31.58,91.09,1007.79,10.75,2.57,57.16,49,Post-Monsoon,Cloudy
Kozhikode,23.33,83.44,1017.99,5.31,2.43,69.56,204,SouthWest Monsoon,Cloudy
Thrissur,28.31,77.36,1003.12,2.75,1.27,53.22,115,Pre-Monsoon,Cloudy
Idukki,25.52,74.9,1004.8,4.49,2.01,59.74,106,Pre-Monsoon,Cloudy
Ernakulam,26.44,77.57,1013.06,14.65,25.51,56.0,96,Pre-Monsoon,Rainy
Pathanamthitta,26.9,71.92,1010.58,18.09,4.22,42.92,237,SouthWest Monsoon,Cloudy
Kasaragod,32.96,78.06,1009.66,3.51,11.45,85.14,337,Post-Monsoon,Rainy
Thiruvananthapuram,27.99,86.39,1002.26,10.36,6.59,66.46,186,SouthWest Monsoon,Rainy
Kottayam,34.18,87.89,1005.21,12.86,10.52,69.18,145,Pre-Monsoon,Rainy
Kasaragod,34.81,82.22,1008.44,6.3,2.28,80.65,112,Pre-Monsoon,Cloudy
Wayanad,35.34,85.06,1019.49,12.39,5.14,72.14,97,Pre-Monsoon,Rainy
Wayanad,28.82,80.12,1007.34,12.54,2.32,82.14,122,Pre-Monsoon,Cloudy
Kollam,29.63,76.16,1002.59,10.36,8.5,62.66,4,Post-Monsoon,Cloudy
Kasaragod,30.13,79.26,1007.78,13.67,7.26,10.47,110,Pre-Monsoon,Cloudy
Kottayam,27.9,90.99,1006.42,9.7,7.59,62.07,282,NorthEast Monsoon,Cloudy
Thrissur,30.27,63.79,1012.88,14.4,1.09,69.64,198,SouthWest Monsoon,Cloudy
Kozhikode,26.19,72.83,996.94,11.09,9.76,60.52,77,Post-Monsoon,Cloudy
Palakkad,23.37,78.21,1006.6,12.68,30.88,40.65,339,Post-Monsoon,Rainy
Kollam,31.14,73.11,1017.14,16.5,8.87,70.18,187,SouthWest Monsoon,Cloudy
Wayanad,27.95,85.51,1013.11,8.6,3.3,93.98,150,SouthWest Monsoon,Rainy
Pathanamthitta,26.07,69.73,1010.32,7.43,1.82,49.79,212,SouthWest Monsoon,Cloudy
Pathanamthitta,26.45,91.63,1007.21,10.52,0.7,95.58,244,SouthWest Monsoon,Rainy
Thiruvananthapuram,33.55,97.65,1013.37,5.88,2.65,43.35,47,Post-Monsoon,Cloudy
Thrissur,30.39,83.99,1013.19,2.26,1.57,57.96,125,Pre-Monsoon,Cloudy
Idukki,24.43,77.05,1004.38,3.11,2.83,50.53,91,Pre-Monsoon,Cloudy
Wayanad,25.44,89.41,1015.49,13.38,0.27,77.38,280,NorthEast Monsoon,Rainy
Kannur,28.12,79.74,1021.17,7.69,1.74,28.34,234,SouthWest Monsoon,Cloudy
Thrissur,30.43,75.16,1007.99,3.36,16.24,57.68,289,NorthEast Monsoon,Rainy
Kozhikode,26.62,82.42,1004.95,7.73,0.64,40.72,75,Post-Monsoon,Cloudy
Palakkad,28.48,69.39,1014.02,6.44,0.38,43.96,297,NorthEast Monsoon,Cloudy
Kottayam,29.34,76.08,1014.66,5.63,5.84,63.94,65,Post-Monsoon,Cloudy
Kasaragod,29.41,75.87,1008.69,8.24,8.81,93.55,69,Post-Monsoon,Cloudy
Wayanad,21.81,81.24,1004.0,14.34,0.51,63.05,197,SouthWest Monsoon,Cloudy
Kasaragod,29.66,69.28,1012.18,11.77,15.73,49.03,47,Post-Monsoon,Rainy
Pathanamthitta,23.8,74.59,995.48,8.83,0.19,61.72,298,NorthEast Monsoon,Cloudy
Kottayam,28.14,77.89,1010.71,11.25,10.43,26.25,273,NorthEast Monsoon,Rainy
Kottayam,27.5,85.79,995.0,12.72,8.89,62.73,98,Pre-Monsoon,Cloudy
Kottayam,25.76,82.02,1007.87,11.54,5.52,65.18,238,SouthWest Monsoon,Cloudy
Pathanamthitta,31.53,95.08,1016.03,11.51,5.02,79.87,326,NorthEast Monsoon,Rainy
Kozhikode,25.63,74.76,1020.78,8.67,7.65,67.5,255,SouthWest Monsoon,Cloudy
Kasaragod,27.43,89.07,1015.25,17.54,0.41,40.07,104,Pre-Monsoon,Cloudy
Malappuram,31.64,89.06,1010.84,9.38,2.37,48.8,360,Post-Monsoon,Cloudy
Kasaragod,27.35,83.44,1012.4,11.6,0.48,62.18,26,Post-Monsoon,Cloudy
Alappuzha,26.72,83.13,1011.15,7.41,0.84,94.22,200,SouthWest Monsoon,Cloudy
Palakkad,28.2,84.11,1004.85,12.77,8.83,51.87,360,Post-Monsoon,Cloudy
Kannur,30.62,74.49,1012.12,14.11,6.05,33.87,19,Post-Monsoon,Cloudy
Malappuram,33.34,89.68,1008.25,11.89,2.29,22.52,59,Post-Monsoon,Cloudy
Palakkad,26.19,82.6,1013.98,13.83,2.61,58.35,68,Post-Monsoon,Cloudy
Kollam,26.43,72.38,1015.72,14.11,5.66,56.37,269,SouthWest Monsoon,Cloudy
Thrissur,28.17,91.53,1007.78,13.73,5.09,55.53,138,Pre-Monsoon,Cloudy
Thrissur,29.69,81.13,1009.63,9.68,3.34,50.45,53,Post-Monsoon,Cloudy
Ernakulam,26.69,82.42,1011.22,12.43,6.91,43.86,17,Post-Monsoon,Cloudy
Thrissur,31.07,61.92,1011.11,8.88,1.18,62.63,60,Post-Monsoon,Cloudy
Kasaragod,26.25,81.34,1021.01,10.39,1.8,81.77,348,Post-Monsoon,Cloudy
Pathanamthitta,23.3,92.15,1008.62,8.18,0.34,80.96,306,NorthEast Monsoon,Rainy
Kannur,30.6,76.98,1000.62,4.37,4.26,95.17,354,Post-Monsoon,Cloudy
Idukki,30.94,71.7,1008.97,12.91,7.12,71.42,341,Post-Monsoon,Cloudy
Thiruvananthapuram,32.13,85.65,1019.55,7.07,3.73,72.48,188,SouthWest Monsoon,Rainy
Ernakulam,23.02,68.06,1012.04,12.42,2.29,55.27,313,NorthEast Monsoon,Cloudy
Thiruvananthapuram,27.0,86.81,1010.54,13.51,1.11,59.31,358,Post-Monsoon,Cloudy
Palakkad,28.25,80.37,1003.98,9.24,4.11,40.94,240,SouthWest Monsoon,Cloudy
Thiruvananthapuram,34.27,82.65,1009.32,14.67,0.74,88.83,331,Post-Monsoon,Cloudy
Thiruvananthapuram,28.52,100.0,1017.65,8.49,3.91,39.94,363,Post-Monsoon,Cloudy
Ernakulam,24.96,84.0,1015.51,8.44,1.03,89.98,233,SouthWest Monsoon,Cloudy
Kollam,29.89,71.29,1017.23,8.5,0.5,72.09,275,NorthEast Monsoon,Cloudy
Kasaragod,32.93,82.92,1003.79,8.92,16.76,66.08,173,SouthWest Monsoon,Rainy
Kottayam,32.29,87.94,1013.69,8.86,0.31,72.53,296,NorthEast Monsoon,Rainy
Thrissur,30.69,65.85,999.74,9.23,10.7,51.21,83,Post-Monsoon,Rainy
Thrissur,29.79,81.9,1009.55,20.16,15.83,64.34,163,SouthWest Monsoon,Rainy
Pathanamthitta,22.2,68.15,1011.57,6.42,5.92,54.27,27,Post-Monsoon,Cloudy
Ernakulam,29.08,82.2,1015.88,15.09,16.84,42.88,91,Pre-Monsoon,Rainy
Pathanamthitta,29.53,94.36,1014.66,9.55,7.09,36.82,212,SouthWest Monsoon,Cloudy
Idukki,28.52,78.52,1016.32,8.64,0.99,54.77,85,Post-Monsoon,Cloudy
Idukki,31.12,82.63,1017.01,12.57,4.08,55.25,48,Post-Monsoon,Cloudy
Pathanamthitta,28.47,84.24,1009.63,12.24,6.34,38.96,12,Post-Monsoon,Cloudy
Ernakulam,27.89,84.74,1003.34,7.14,4.5,86.07,280,NorthEast Monsoon,Cloudy
Pathanamthitta,32.12,83.18,1012.81,16.35,2.73,54.04,179,SouthWest Monsoon,Cloudy
Thrissur,27.76,65.93,1014.24,5.87,2.0,80.85,332,Post-Monsoon,Cloudy
Malappuram,29.19,83.48,1007.29,11.28,12.05,40.49,110,Pre-Monsoon,Rainy
Alappuzha,31.69,76.92,1010.37,6.65,9.41,49.83,103,Pre-Monsoon,Cloudy
Kannur,25.97,72.87,1013.43,6.72,9.67,88.33,114,Pre-Monsoon,Cloudy
Thiruvananthapuram,25.64,83.59,1017.67,14.12,2.42,49.01,73,Post-Monsoon,Cloudy
Alappuzha,33.07,83.11,1002.98,9.25,2.82,100.0,318,NorthEast Monsoon,Cloudy
Kasaragod,27.22,67.83,1016.15,12.82,18.49,27.52,139,Pre-Monsoon,Rainy
Ernakulam,31.08,78.81,1009.7,7.07,10.2,41.36,309,NorthEast Monsoon,Rainy
Kozhikode,23.67,92.73,1009.18,3.21,5.49,47.03,281,NorthEast Monsoon,Cloudy
Alappuzha,21.49,71.93,1016.25,12.17,1.85,89.51,305,NorthEast Monsoon,Cloudy
Kannur,30.09,83.34,1007.3,11.91,2.26,100.0,279,NorthEast Monsoon,Cloudy
Idukki,28.62,72.36,1012.68,8.11,6.14,61.23,175,SouthWest Monsoon,Cloudy
Palakkad,30.12,95.12,1006.54,11.71,0.22,48.24,124,Pre-Monsoon,Cloudy
Thiruvananthapuram,34.62,87.58,1008.96,8.47,12.7,66.52,145,Pre-Monsoon,Rainy
Kannur,25.29,75.37,1017.38,16.06,1.89,67.51,334,Post-Monsoon,Cloudy
Kottayam,29.11,83.71,1012.13,14.63,1.91,100.0,290,NorthEast Monsoon,Cloudy
Kozhikode,33.43,71.04,1016.41,7.96,0.01,47.19,258,SouthWest Monsoon,Cloudy
Ernakulam,25.72,67.5,999.75,9.73,5.4,78.89,142,Pre-Monsoon,Cloudy
Thiruvananthapuram,27.25,81.24,1016.6,17.01,3.66,72.64,21,Post-Monsoon,Cloudy
Kasaragod,23.7,75.94,1004.88,11.79,3.3,75.12,109,Pre-Monsoon,Cloudy
Alappuzha,35.71,83.59,1006.86,11.1,2.75,52.63,196,SouthWest Monsoon,Cloudy
Idukki,22.39,68.59,1007.7,12.49,1.75,67.74,256,SouthWest Monsoon,Cloudy
Kollam,31.4,77.55,1011.88,15.89,2.75,56.96,176,SouthWest Monsoon,Cloudy
Malappuram,25.04,94.25,1011.96,7.63,0.02,80.49,3,Post-Monsoon,Rainy
Kottayam,25.85,93.45,1013.06,13.91,1.78,29.71,280,NorthEast Monsoon,Cloudy
Kozhikode,32.19,95.38,1011.88,10.09,13.0,59.51,28,Post-Monsoon,Rainy
Malappuram,26.77,100.0,1011.95,13.89,8.65,52.21,191,SouthWest Monsoon,Cloudy
Thiruvananthapuram,30.96,78.77,1008.47,7.97,4.98,69.7,342,Post-Monsoon,Cloudy
Idukki,33.14,59.76,1011.14,14.09,8.81,31.27,126,Pre-Monsoon,Cloudy
Idukki,29.6,90.83,1012.2,5.9,3.91,64.81,265,SouthWest Monsoon,Cloudy
Kannur,31.67,73.07,1002.92,3.66,0.5,80.37,237,SouthWest Monsoon,Cloudy
Alappuzha,29.24,98.48,1012.67,12.13,3.09,54.4,185,SouthWest Monsoon,Cloudy
Kannur,29.38,82.66,1011.11,13.74,12.87,61.32,43,Post-Monsoon,Rainy
Thrissur,27.1,95.09,1015.27,10.78,0.34,51.84,127,Pre-Monsoon,Cloudy
Alappuzha,34.79,80.77,1017.53,17.6,6.67,48.04,285,NorthEast Monsoon,Cloudy
Thrissur,31.23,76.56,1017.83,8.81,6.02,81.44,12,Post-Monsoon,Cloudy
Kannur,30.57,87.82,995.0,15.19,1.95,34.3,90,Pre-Monsoon,Cloudy
Thrissur,31.31,85.91,1005.68,6.23,10.08,76.89,269,SouthWest Monsoon,Rainy
Kottayam,26.97,72.84,1004.91,10.77,5.42,54.07,345,Post-Monsoon,Cloudy
Kannur,31.79,81.72,1010.16,14.26,1.23,69.94,47,Post-Monsoon,Cloudy
Alappuzha,33.67,77.39,1006.7,15.58,5.11,38.49,105,Pre-Monsoon,Cloudy
Wayanad,24.86,83.63,1014.88,7.5,8.79,67.45,10,Post-Monsoon,Cloudy
Kannur,30.62,81.72,1006.64,4.63,10.49,49.15,175,SouthWest Monsoon,Rainy
Kollam,29.19,83.09,1011.03,10.28,14.93,79.46,223,SouthWest Monsoon,Rainy
Kozhikode,27.44,82.12,1006.08,13.3,0.25,46.9,127,Pre-Monsoon,Cloudy
Pathanamthitta,25.72,79.18,1010.67,4.52,0.86,95.44,266,SouthWest Monsoon,Cloudy
Pathanamthitta,32.16,84.88,997.04,13.22,0.93,25.48,349,Post-Monsoon,Cloudy
Alappuzha,29.62,75.93,1006.69,19.46,1.37,45.96,135,Pre-Monsoon,Cloudy
Alappuzha,28.38,95.19,1001.22,3.49,5.77,43.39,158,SouthWest Monsoon,Cloudy
Malappuram,30.63,81.87,1015.55,0.0,2.7,68.71,172,SouthWest Monsoon,Cloudy
Kozhikode,28.62,88.74,1010.57,3.22,0.64,95.97,209,SouthWest Monsoon,Rainy
Kozhikode,26.89,77.72,1009.4,16.04,18.39,41.43,134,Pre-Monsoon,Rainy
Kottayam,29.39,78.6,1008.02,7.86,0.53,67.16,337,Post-Monsoon,Cloudy
Alappuzha,28.92,89.38,1009.08,7.08,10.64,48.0,28,Post-Monsoon,Rainy
Kozhikode,23.68,88.08,1015.3,7.42,2.07,67.62,111,Pre-Monsoon,Rainy
Kasaragod,27.11,81.02,1010.01,11.96,0.66,44.61,195,SouthWest Monsoon,Cloudy
Malappuram,25.21,67.72,1008.04,14.63,0.27,56.97,115,Pre-Monsoon,Cloudy
Thrissur,24.05,77.81,1001.27,14.66,3.21,53.53,295,NorthEast Monsoon,Cloudy
Idukki,30.4,81.29,1007.25,13.95,2.67,90.0,90,Pre-Monsoon,Cloudy
Idukki,26.99,76.54,1009.41,9.27,3.34,79.74,341,Post-Monsoon,Cloudy
Thrissur,32.12,71.82,1011.86,9.74,5.52,66.7,61,Post-Monsoon,Cloudy
Ernakulam,23.51,88.83,1012.65,5.81,1.58,66.18,232,SouthWest Monsoon,Rainy
Malappuram,28.11,80.56,1013.56,15.7,0.01,66.44,34,Post-Monsoon,Cloudy
Kasaragod,27.15,96.47,1009.31,12.24,3.87,49.81,14,Post-Monsoon,Cloudy
Kozhikode,24.27,80.66,1005.48,10.45,0.26,75.04,151,SouthWest Monsoon,Cloudy
Wayanad,29.02,83.42,1009.09,5.42,8.5,70.63,28,Post-Monsoon,Cloudy
Malappuram,24.53,77.29,1005.28,0.92,8.26,71.94,162,SouthWest Monsoon,Cloudy
Kannur,29.67,94.09,1000.96,5.11,0.64,45.66,162,SouthWest Monsoon,Cloudy
Thrissur,31.16,79.58,1012.07,12.09,15.25,9.39,172,SouthWest Monsoon,Rainy
Kasaragod,29.8,80.38,1000.32,7.27,2.58,66.06,127,Pre-Monsoon,Cloudy
Kollam,30.18,74.38,1004.52,16.01,4.09,75.08,287,NorthEast Monsoon,Cloudy
Palakkad,32.09,85.04,1009.72,5.04,6.94,63.99,24,Post-Monsoon,Cloudy
Thiruvananthapuram,28.92,79.36,1018.25,9.95,1.05,32.61,312,NorthEast Monsoon,Cloudy
Thrissur,26.52,74.25,1006.56,11.2,0.05,39.34,110,Pre-Monsoon,Sunny
Wayanad,27.17,81.61,999.62,1.57,6.7,43.16,63,Post-Monsoon,Cloudy
Kozhikode,27.24,87.8,1009.21,13.9,7.82,24.43,95,Pre-Monsoon,Cloudy
Wayanad,25.87,95.19,1009.51,8.76,5.39,28.82,282,NorthEast Monsoon,Cloudy
Wayanad,31.35,83.89,1005.19,0.0,4.86,37.4,43,Post-Monsoon,Cloudy
Alappuzha,30.58,77.6,1008.75,8.57,11.63,62.22,70,Post-Monsoon,Rainy
Alappuzha,24.0,85.65,1006.1,14.28,10.74,45.97,5,Post-Monsoon,Rainy
Kottayam,26.52,80.88,1011.71,6.09,0.5,97.01,34,Post-Monsoon,Cloudy
Thrissur,25.72,82.45,1006.26,3.68,1.13,34.14,360,Post-Monsoon,Cloudy
Kottayam,29.95,81.98,1006.31,3.6,5.16,100.0,32,Post-Monsoon,Cloudy
Thrissur,32.23,85.69,1013.92,8.38,0.42,19.16,74,Post-Monsoon,Cloudy
Malappuram,30.34,86.76,1008.92,13.16,3.96,37.18,182,SouthWest Monsoon,Cloudy
Thiruvananthapuram,26.9,81.6,1007.01,11.34,0.75,38.88,178,SouthWest Monsoon,Cloudy
Wayanad,28.04,100.0,1017.55,1.86,14.55,43.55,65,Post-Monsoon,Rainy
Malappuram,24.82,89.35,1011.71,7.32,2.48,58.36,352,Post-Monsoon,Cloudy
Palakkad,25.05,65.37,1001.49,12.64,1.32,59.75,301,NorthEast Monsoon,Cloudy
Idukki,31.54,79.23,1003.83,5.56,7.05,67.94,256,SouthWest Monsoon,Cloudy
Pathanamthitta,33.33,81.84,1009.46,8.21,1.15,70.43,148,Pre-Monsoon,Cloudy
Kannur,26.86,86.87,1014.38,3.67,9.68,58.69,18,Post-Monsoon,Cloudy
Kasaragod,29.14,96.67,999.2,9.5,8.76,84.99,206,SouthWest Monsoon,Rainy
Thrissur,31.16,76.24,1003.67,10.92,1.47,56.04,253,SouthWest Monsoon,Cloudy
Palakkad,24.01,91.21,1016.81,16.91,2.02,71.05,189,SouthWest Monsoon,Rainy
Idukki,25.85,83.63,1005.92,10.31,0.17,60.36,312,NorthEast Monsoon,Cloudy
Kozhikode,34.98,84.63,1005.95,11.13,1.78,43.65,221,SouthWest Monsoon,Cloudy
Ernakulam,26.13,91.55,1002.71,10.66,0.89,70.86,203,SouthWest Monsoon,Rainy
Thiruvananthapuram,27.91,68.69,1012.72,8.08,0.18,59.62,114,Pre-Monsoon,Cloudy
Kasaragod,27.19,86.28,1001.59,10.38,15.07,72.86,111,Pre-Monsoon,Rainy
Kottayam,23.02,95.22,1009.46,16.97,14.25,62.77,262,SouthWest Monsoon,Rainy
Kottayam,29.25,73.54,1012.28,8.48,4.9,99.65,95,Pre-Monsoon,Cloudy
Malappuram,28.92,82.02,1010.36,5.26,3.12,91.26,363,Post-Monsoon,Cloudy
Kasaragod,29.54,87.43,1011.07,12.07,3.17,52.23,233,SouthWest Monsoon,Cloudy
Alappuzha,28.75,66.35,1006.94,5.16,5.01,100.0,107,Pre-Monsoon,Cloudy
Idukki,27.62,84.69,1015.42,13.54,1.41,79.34,177,SouthWest Monsoon,Cloudy
Ernakulam,27.45,79.91,1012.01,4.77,5.81,75.77,288,NorthEast Monsoon,Cloudy
Palakkad,27.5,93.21,1002.8,16.9,0.14,53.89,100,Pre-Monsoon,Cloudy
Thiruvananthapuram,26.03,76.08,1007.38,11.05,5.28,73.95,193,SouthWest Monsoon,Cloudy
Idukki,26.5,81.66,1019.53,7.93,3.66,63.96,36,Post-Monsoon,Cloudy
Ernakulam,26.08,75.56,1011.82,12.19,5.94,58.18,246,SouthWest Monsoon,Cloudy
Pathanamthitta,30.72,81.05,1013.51,11.95,4.74,25.66,196,SouthWest Monsoon,Cloudy
Thrissur,29.92,76.26,1004.02,11.77,1.48,77.67,316,NorthEast Monsoon,Cloudy
Kottayam,29.08,78.92,1015.04,9.96,3.86,59.48,265,SouthWest Monsoon,Cloudy
Palakkad,34.83,72.83,999.5,8.9,5.4,43.31,283,NorthEast Monsoon,Cloudy
Kottayam,26.22,76.43,1011.55,15.5,0.08,33.27,60,Post-Monsoon,Cloudy
Palakkad,32.36,75.99,1008.42,8.96,17.23,64.77,287,NorthEast Monsoon,Rainy
Malappuram,28.22,78.33,1008.59,8.3,2.36,75.23,245,SouthWest Monsoon,Cloudy
Alappuzha,29.47,81.07,1015.13,11.7,1.59,32.85,301,NorthEast Monsoon,Cloudy
Palakkad,31.01,58.76,1004.38,11.22,6.24,76.34,47,Post-Monsoon,Cloudy
Kottayam,27.57,83.14,1011.18,5.62,7.77,63.75,222,SouthWest Monsoon,Cloudy
Malappuram,25.83,91.91,1011.31,16.35,2.7,9.69,72,Post-Monsoon,Cloudy
Palakkad,26.32,88.03,1011.26,4.66,4.65,53.8,251,SouthWest Monsoon,Cloudy
Pathanamthitta,22.68,75.06,1017.07,4.56,1.53,50.59,316,NorthEast Monsoon,Cloudy
Alappuzha,30.82,90.18,1009.8,17.12,6.06,86.91,88,Post-Monsoon,Rainy
Palakkad,30.75,75.53,1012.24,9.73,3.44,54.51,207,SouthWest Monsoon,Cloudy
Malappuram,33.75,84.34,1015.18,10.9,0.75,36.7,108,Pre-Monsoon,Cloudy
Kozhikode,30.24,62.67,1006.23,7.71,8.62,48.4,79,Post-Monsoon,Cloudy
Idukki,30.97,86.88,1009.22,8.82,11.51,52.72,258,SouthWest Monsoon,Rainy
Kollam,28.76,82.04,1003.64,14.41,2.12,34.76,286,NorthEast Monsoon,Cloudy
Ernakulam,30.39,83.11,1012.8,12.41,2.32,62.47,289,NorthEast Monsoon,Cloudy
Kollam,32.27,82.14,1010.54,12.12,7.39,54.99,173,SouthWest Monsoon,Cloudy
Kozhikode,29.54,96.95,1013.68,5.24,9.7,55.58,282,NorthEast Monsoon,Cloudy
Kollam,27.44,88.99,1009.6,9.21,3.72,84.27,48,Post-Monsoon,Rainy
Kozhikode,28.34,87.73,1007.27,12.76,10.01,53.62,137,Pre-Monsoon,Rainy
Thiruvananthapuram,31.26,86.44,1011.82,2.21,0.09,66.89,67,Post-Monsoon,Rainy
Kozhikode,27.53,98.05,1017.2,6.45,0.9,80.6,130,Pre-Monsoon,Rainy
